Fecha,Gasolina Regular,Gasolina Premium,Diésel
01/01/2017,"15,99","17,79","17,05"
02/01/2017,"16,02","17,82","17,08"
03/01/2017,"16,02","17,83","17,08"
04/01/2017,"16,02","17,83","17,08"
05/01/2017,"16,02","17,83","17,08"
06/01/2017,"16,02","17,83","17,08"
07/01/2017,"16,02","17,83","17,08"
08/01/2017,"16,02","17,83","17,08"
09/01/2017,"16,02","17,83","17,09"
10/01/2017,"16,02","17,83","17,08"
11/01/2017,"16,01","17,82","17,08"
12/01/2017,"16,01","17,83","17,08"
13/01/2017,"16,01","17,82","17,08"
14/01/2017,16,"17,82","17,07"
15/01/2017,16,"17,82","17,07"
16/01/2017,16,"17,82","17,07"
17/01/2017,16,"17,81","17,07"
18/01/2017,16,"17,81","17,07"
19/01/2017,16,"17,81","17,07"
20/01/2017,16,"17,81","17,07"
21/01/2017,16,"17,81","17,07"
22/01/2017,16,"17,81","17,07"
23/01/2017,16,"17,81","17,07"
24/01/2017,16,"17,81","17,07"
25/01/2017,16,"17,81","17,07"
26/01/2017,"15,99","17,8","17,07"
27/01/2017,"15,99","17,81","17,07"
28/01/2017,"15,99","17,81","17,07"
29/01/2017,"15,99","17,81","17,07"
30/01/2017,"15,99","17,81","17,07"
31/01/2017,"15,99","17,82","17,08"
01/02/2017,"15,91","17,77","17,08"
02/02/2017,"15,89","17,74","17,08"
03/02/2017,"15,88","17,74","17,08"
04/02/2017,"15,87","17,73","17,08"
05/02/2017,"15,86","17,73","17,08"
06/02/2017,"15,86","17,73","17,07"
07/02/2017,"15,86","17,72","17,07"
08/02/2017,"15,86","17,72","17,07"
09/02/2017,"15,85","17,72","17,07"
10/02/2017,"15,84","17,72","17,07"
11/02/2017,"15,84","17,71","17,07"
12/02/2017,"15,8","17,68","17,08"
13/02/2017,"15,75","17,66","17,09"
14/02/2017,"15,71","17,64","17,09"
15/02/2017,"15,69","17,62","17,09"
16/02/2017,"15,69","17,62","17,09"
17/02/2017,"15,67","17,62","17,1"
18/02/2017,"15,93","17,76","17,05"
19/02/2017,"15,93","17,76","17,06"
20/02/2017,"15,93","17,76","17,06"
21/02/2017,"15,92","17,75","17,06"
22/02/2017,"15,92","17,75","17,06"
23/02/2017,"15,91","17,74","17,06"
24/02/2017,"15,9","17,73","17,03"
25/02/2017,"15,89","17,73","17,03"
26/02/2017,"15,89","17,73","17,03"
27/02/2017,"15,89","17,73","17,03"
28/02/2017,"15,89","17,73","17,02"
01/03/2017,"15,87","17,72","17,03"
02/03/2017,"15,86","17,72","17,04"
03/03/2017,"15,84","17,7","17,03"
04/03/2017,"15,82","17,68",17
05/03/2017,"15,82","17,68",17
06/03/2017,"15,82","17,68",17
07/03/2017,"15,8","17,66","16,98"
08/03/2017,"15,82","17,68","17,01"
09/03/2017,"15,82","17,68","17,01"
10/03/2017,"15,81","17,7","16,99"
11/03/2017,"15,8","17,69","16,98"
12/03/2017,"15,8","17,69","16,98"
13/03/2017,"15,8","17,69","16,98"
14/03/2017,"15,78","17,67","16,96"
15/03/2017,"15,77","17,66","16,95"
16/03/2017,"15,79","17,63","16,95"
17/03/2017,"15,77","17,62","16,96"
18/03/2017,"15,77","17,61","16,94"
19/03/2017,"15,77","17,61","16,94"
20/03/2017,"15,76","17,61","16,94"
21/03/2017,"15,76","17,6","16,93"
22/03/2017,"15,76","17,6","16,93"
23/03/2017,"15,76","17,6","16,91"
24/03/2017,"15,75","17,59","16,9"
25/03/2017,"15,73","17,57","16,88"
26/03/2017,"15,73","17,57","16,88"
27/03/2017,"15,73","17,57","16,88"
28/03/2017,"15,74","17,57","16,87"
29/03/2017,"15,75","17,58","16,88"
30/03/2017,"15,75","17,58","16,88"
31/03/2017,"15,76","17,6","16,88"
01/04/2017,"15,75","17,59","16,88"
02/04/2017,"15,75","17,59","16,88"
03/04/2017,"15,75","17,59","16,88"
04/04/2017,"15,77","17,6","16,89"
05/04/2017,"15,77","17,6","16,88"
06/04/2017,"15,79","17,62","16,89"
07/04/2017,"15,78","17,61","16,9"
08/04/2017,"15,79","17,62","16,89"
09/04/2017,"15,79","17,62","16,89"
10/04/2017,"15,79","17,62","16,89"
11/04/2017,"15,8","17,62","16,89"
12/04/2017,"15,81","17,62","16,9"
13/04/2017,"15,81","17,63","16,91"
14/04/2017,"15,81","17,62","16,92"
15/04/2017,"15,81","17,62","16,92"
16/04/2017,"15,81","17,62","16,92"
17/04/2017,"15,81","17,62","16,92"
18/04/2017,"15,81","17,62","16,92"
19/04/2017,"15,79","17,61","16,9"
20/04/2017,"15,79","17,61","16,89"
21/04/2017,"15,77","17,61","16,88"
22/04/2017,"15,78","17,61","16,88"
23/04/2017,"15,78","17,62","16,88"
24/04/2017,"15,78","17,61","16,88"
25/04/2017,"15,77","17,59","16,86"
26/04/2017,"15,75","17,56","16,84"
27/04/2017,"15,77","17,59","16,85"
28/04/2017,"15,75","17,57","16,85"
29/04/2017,"15,73","17,54","16,83"
30/04/2017,"15,73","17,54","16,83"
01/05/2017,"15,73","17,54","16,83"
02/05/2017,"15,71","17,52","16,82"
03/05/2017,"15,71","17,52","16,82"
04/05/2017,"15,68","17,5","16,79"
05/05/2017,"15,69","17,53","16,79"
06/05/2017,"15,67","17,51","16,76"
07/05/2017,"15,67","17,51","16,76"
08/05/2017,"15,67","17,51","16,76"
09/05/2017,"15,67","17,52","16,76"
10/05/2017,"15,67","17,53","16,77"
11/05/2017,"15,65","17,51","16,76"
12/05/2017,"15,66","17,52","16,76"
13/05/2017,"15,67","17,53","16,76"
14/05/2017,"15,67","17,53","16,76"
15/05/2017,"15,67","17,53","16,76"
16/05/2017,"15,66","17,54","16,75"
17/05/2017,"15,67","17,55","16,75"
18/05/2017,"15,66","17,54","16,74"
19/05/2017,"15,66","17,54","16,75"
20/05/2017,"15,67","17,53","16,76"
21/05/2017,"15,67","17,53","16,76"
22/05/2017,"15,67","17,53","16,76"
23/05/2017,"15,7","17,56","16,76"
24/05/2017,"15,7","17,56","16,77"
25/05/2017,"15,69","17,55","16,77"
26/05/2017,"15,69","17,55","16,77"
27/05/2017,"15,67","17,53","16,75"
28/05/2017,"15,67","17,53","16,75"
29/05/2017,"15,67","17,53","16,75"
30/05/2017,"15,68","17,54","16,76"
31/05/2017,"15,68","17,54","16,76"
01/06/2017,"15,69","17,53","16,75"
02/06/2017,"15,68","17,52","16,73"
03/06/2017,"15,68","17,52","16,71"
04/06/2017,"15,68","17,52","16,71"
05/06/2017,"15,68","17,52","16,71"
06/06/2017,"15,66","17,5","16,69"
07/06/2017,"15,63","17,48","16,67"
08/06/2017,"15,63","17,47","16,65"
09/06/2017,"15,6","17,45","16,63"
10/06/2017,"15,6","17,42","16,62"
11/06/2017,"15,6","17,42","16,62"
12/06/2017,"15,6","17,42","16,62"
13/06/2017,"15,6","17,42","16,61"
14/06/2017,"15,58","17,4","16,6"
15/06/2017,"15,56","17,39","16,6"
16/06/2017,"15,53","17,36","16,57"
17/06/2017,"15,54","17,37","16,57"
18/06/2017,"15,54","17,37","16,57"
19/06/2017,"15,54","17,37","16,57"
20/06/2017,"15,54","17,36","16,56"
21/06/2017,"15,54","17,38","16,54"
22/06/2017,"15,52","17,35","16,53"
23/06/2017,"15,52","17,34","16,5"
24/06/2017,"15,5","17,33","16,49"
25/06/2017,"15,5","17,33","16,49"
26/06/2017,"15,5","17,33","16,49"
27/06/2017,"15,49","17,32","16,48"
28/06/2017,"15,47","17,3","16,47"
29/06/2017,"15,48","17,31","16,48"
30/06/2017,"15,48","17,3","16,48"
01/07/2017,"15,49","17,3","16,49"
02/07/2017,"15,49","17,3","16,49"
03/07/2017,"15,49","17,31","16,49"
04/07/2017,"15,51","17,32","16,5"
05/07/2017,"15,51","17,32","16,5"
06/07/2017,"15,51","17,32","16,5"
07/07/2017,"15,51","17,32","16,5"
08/07/2017,"15,52","17,33","16,5"
09/07/2017,"15,51","17,33","16,49"
10/07/2017,"15,51","17,33","16,49"
11/07/2017,"15,49","17,3","16,47"
12/07/2017,"15,48","17,31","16,46"
13/07/2017,"15,48","17,31","16,47"
14/07/2017,"15,47","17,3","16,45"
15/07/2017,"15,47","17,3","16,45"
16/07/2017,"15,47","17,3","16,44"
17/07/2017,"15,47","17,3","16,44"
18/07/2017,"15,47","17,3","16,44"
19/07/2017,"15,47","17,3","16,44"
20/07/2017,"15,48","17,29","16,44"
21/07/2017,"15,48","17,29","16,45"
22/07/2017,"15,47","17,28","16,44"
23/07/2017,"15,46","17,28","16,44"
24/07/2017,"15,46","17,28","16,44"
25/07/2017,"15,45","17,26","16,42"
26/07/2017,"15,45","17,26","16,42"
27/07/2017,"15,47","17,29","16,45"
28/07/2017,"15,48","17,3","16,46"
29/07/2017,"15,49","17,31","16,46"
30/07/2017,"15,49","17,31","16,46"
31/07/2017,"15,49","17,31","16,46"
01/08/2017,"15,51","17,33","16,48"
02/08/2017,"15,54","17,36","16,5"
03/08/2017,"15,54","17,36","16,49"
04/08/2017,"15,54","17,36","16,5"
05/08/2017,"15,54","17,36","16,49"
06/08/2017,"15,54","17,37","16,49"
07/08/2017,"15,54","17,37","16,49"
08/08/2017,"15,55","17,38","16,5"
09/08/2017,"15,55","17,38","16,5"
10/08/2017,"15,55","17,38","16,49"
11/08/2017,"15,56","17,39","16,51"
12/08/2017,"15,55","17,38","16,5"
13/08/2017,"15,55","17,38","16,5"
